class_id,id,enrolled,capacity,message,timestamp
WINTER 2024 04788,99063,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04796,99064,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04804,99065,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04812,99066,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04820,99067,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04838,99068,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04846,99069,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04853,99070,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04861,99071,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04879,99072,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04887,99073,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04895,99074,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04903,99075,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04911,99076,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04929,99077,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04937,99078,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04945,99079,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04952,99080,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04960,99081,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04978,99082,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04986,99083,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04994,99084,0,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05009,99085,0,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05017,99086,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05025,99087,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05033,99088,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05041,99089,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05058,99090,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05066,99091,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05074,99092,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05082,99093,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05090,99094,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05108,99095,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05116,99096,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05124,99097,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05132,99098,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05140,99099,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05157,99100,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05165,99101,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05173,99102,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 05181,99103,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 63164,99104,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 63172,99105,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 63180,99106,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 63198,99107,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 63206,99108,0,20,"",2023-11-21 00:00:00.000000
WINTER 2024 63214,99109,0,20,"",2023-11-21 00:00:00.000000
WINTER 2024 56267,99110,128,175,"",2023-11-21 00:00:00.000000
WINTER 2024 05256,99111,324,324,"",2023-11-21 00:00:00.000000
WINTER 2024 05413,99112,0,10,"",2023-11-21 00:00:00.000000
WINTER 2024 05421,99113,18,18,"",2023-11-21 00:00:00.000000
WINTER 2024 05439,99114,18,18,"",2023-11-21 00:00:00.000000
WINTER 2024 05447,99115,18,18,"",2023-11-21 00:00:00.000000
WINTER 2024 59337,99116,18,18,"",2023-11-21 00:00:00.000000
WINTER 2024 05454,99117,0,10,"",2023-11-21 00:00:00.000000
